"plant","num_leaf_segments","num_uninfected","perc_infected","blackSpore","Undifilum","unk_infections","notAlfuInfected","morphospecies_not_counting_Undifilum","notes","startCulturedate","endCultureDate","Height","Width","Length","Flowering.","Weight.mg.","d15N....vs..air.","wt...N","d13C....vs..VPDB.","wt...C","percN","percC","m1","m2","m3","a1","a2","a3","m4","a4","X","treament","status","DateFlowering","DateFruiting","width","height","length","vol","X.Fl_Stems_atCollectionTime","X.Fl_stemsEndOfYear","X.LeavesCollection","X.LeavesEndofYear","lvs_with_herbivory","lvs_with_fungus","blackdotFungusPresence","leafarea_avg","sla_1","sla_2","sla_3","sla_4","sla_avg","ndfa","tube_before","tube_after","sample_mg","Calculated.amount","top","bottom","X..Swainsonine","treatment_failed"
35,12,12,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",10,24,19,"",3.561,0.51,1.72,-29.92,44.1,0.483010390339792,12.3841617523168,1.9,3.17,2.73,0.242,0.288,0.259,NA,NA,"","treated_plus","good",NA,NA,20,11,18,NA,NA,NA,28,NA,2,7,"",0.44725,0.127368421052632,0.0908517350157729,0.0948717948717949,NA,0.104363983646733,62.2311827956989,1321.02,1365.69,44.67,"NF","#VALUE!",8934,0,"no"
35,16,16,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",10,24,19,"",3.561,0.51,1.72,-29.92,44.1,0.483010390339792,12.3841617523168,1.9,3.17,2.73,0.242,0.288,0.259,NA,NA,"","treated_plus","good",NA,NA,20,11,18,NA,NA,NA,28,NA,2,7,"",0.44725,0.127368421052632,0.0908517350157729,0.0948717948717949,NA,0.104363983646733,62.2311827956989,1321.02,1365.69,44.67,"NF","#VALUE!",8934,0,"no"
36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,13,10,"",NA,NA,NA,NA,NA,NA,NA,3.34,3.27,3,0.332,0.307,0.261,NA,NA,"","treated_plus","weak",NA,NA,11,10,9,NA,NA,NA,4,NA,NA,NA,"",0.475,0.0994011976047904,0.0938837920489297,0.087,NA,0.0934283298845734,NA,NA,NA,NA,NA,NA,NA,NA,"no"
37,22,NA,1,NA,0,4,4,1,"","9/16/17","10/7/17",24,61,48,"",NA,4.585,NA,-29.87,NA,1.0732759029967,11.458544997911,5.14,4.69,4.17,0.431,0.447,0.414,NA,NA,"","untreated_neg","good",NA,NA,51,22,46,NA,NA,NA,95,NA,4,8,"",0.573,0.083852140077821,0.0953091684434968,0.0992805755395683,NA,0.0928139613536287,7.45967741935483,1234.33,1273.89,39.56,"0.061","0.09109618",7912,0.001,"no"
38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,8,"",NA,NA,NA,NA,NA,NA,NA,2.49,1.48,1.57,0.254,0.153,0.23,NA,NA,"","untreated_plus","weak",NA,NA,9,7,9,NA,NA,NA,3,NA,NA,1,"",0.40925,0.102008032128514,0.103378378378378,0.146496815286624,NA,0.117294408597839,NA,NA,NA,NA,NA,NA,NA,NA,"no"
39,14,NA,1,1,0,2,3,2,"","9/15/17","10/7/17",10,21,19,"",3.716,1.47,3.36,-29.47,41.81,0.904198062432723,11.251345532831,3.91,5.85,1.69,0.44,0.604,0.192,NA,NA,"","controlNeg","good",NA,NA,21,12,16,NA,NA,NA,19,NA,2,4,"",0.559,0.112531969309463,0.103247863247863,0.113609467455621,NA,0.109796433337649,49.3279569892473,1245.12,1292.77,47.65,"NF","#VALUE!",9530,0,"no"
40,19,11,0.421052632,NA,0,1,1,1,"","9/16/17","10/28/17",28,74,60,"y",3.294,4.41,5,-28.47,41.98,1.51791135397693,12.7443837279903,6.48,6.28,2.67,0.8,0.88,0.454,NA,NA,"","treated_plus","good",NA,NA,74,29,57,NA,NA,NA,123,NA,1,8,"",0.7835,0.123456790123457,0.140127388535032,0.170037453183521,NA,0.144540543947336,9.81182795698924,1244.89,1287.76,42.87,"0.052","0.07807553",8574,0.001,"no"
41,12,12,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",10,31,27,"y",NA,0.985,NA,-30.33,NA,0.792535614472321,11.2862772960098,2.92,2.08,2.2,0.315,0.268,0.259,NA,NA,"","treated_neg","good",NA,NA,26,15,23,NA,NA,NA,38,NA,NA,18,"",0.4605,0.107876712328767,0.128846153846154,0.117727272727273,NA,0.118150046300731,55.8467741935484,1304.48,1340.68,36.2,"NF","#VALUE!",7240,0,"no"
42,10,10,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",11,33,33,"y",2.948,0.47,3.33,-30.09,46.83,1.12957937584803,15.8853459972863,2.19,1.79,2.36,0.378,0.356,0.312,NA,NA,"","controlplus","good",NA,NA,32,16,30,NA,NA,NA,43,NA,NA,18,"",0.5115,0.172602739726027,0.198882681564246,0.132203389830508,NA,0.167896270373594,62.7688172043011,1307.39,1346.36,38.97,"NF","#VALUE!",7794,0,"no"
43,13,13,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",8,18,15,"",3.651,1.2,2.57,-30.75,42.92,0.703916735141057,11.755683374418,3.91,4.02,2.4,0.36,0.435,0.262,NA,NA,"","untreated_neg","good",NA,NA,18,12,14,NA,NA,NA,11,NA,NA,2,"",0.51425,0.0920716112531969,0.108208955223881,0.109166666666667,NA,0.103149077714581,52.9569892473118,1302.6,1338.67,36.07,"NF","#VALUE!",7214,0,"no"
