rns,treament,status,DateFlowering,DateFruiting,width,height,length,vol,#Fl_Stems_atCollectionTime,#Fl_stemsEndOfYear,#LeavesCollection,#LeavesEndofYear,lvs_with_herbivory,lvs_with_fungus,blackdotFungusPresence
149,controlNeg,dontuse,,,7,7,4,,,,1,,,,
150,treated_neg,good,,,21,15,20,,,,27,,,,
151,untreated_plus,weak,,,10,8,8,,,,5,,,,
152,treated_neg,good,,,40,20,24,,2,,81,,3,8,
153,treated_plus,good,,,52,34,46,,,,82,,6,,
154,treated_plus,good,,,21,15,13,,,,16,,3,,
155,treated_neg,good,,,24,15,29,,,,58,,,15,
156,untreated_neg,good,,,63,28,59,,,,161,,,14,
157,treated_neg,good,,,38,18,32,,,,49,,,7,
158,treated_controlplus,dead,,,,,,,,,,,,,
159,treated_plus,good,,,22,14,21,,,,24,,,10,
160,untreated_plus,good,,,19,12,16,,,,18,,1,5,
161,untreated_neg,good,,,30,13,19,,,,35,,,8,
162,untreated_plus,good,,,16,14,14,,,,9,,3,5,
163,treated_neg,good,,,45,22,41,,,,75,,,18,yes
164,untreated_neg,good,,,41,21,28,,,,42,,3,6,
165,untreated_plus,weak,,,11,9,11,,,,5,,1,,
166,untreated_plus,good,,,12,13,10,,,,8,,,1,
167,untreated_plus,good,,,12,11,11,,,,6,,,3,
168,treated_plus,good,,,14,10,11,,,,10,,2,4,
169,treated_plus,good,,,10,10,8,,,,6,,,,
170,treated_neg,good,,,20,10,17,,,,24,,4,,
171,treated_plus,good,,,26,15,21,,,,22,,4,1,
172,treated_plus,good,,,33,13,24,,,,51,,1,11,
173,treated_controlneg,good,,,18,20,14,,,,69,,5,,
174,treated_neg,good,,,40,18,30,,,,41,,6,1,
175,untreated_neg,good,,,15,14,13,,,,13,,,2,
176,treated_neg,good,,,10,11,9,,,,3,,,1,
177,untreated_neg,good,,,13,15,11,,,,8,,2,,
178,untreated_neg,good,,,18,10,14,,1,,13,,1,1,
179,controlplus,dead,,,,,,,,,,,,,
180,treated_plus,dontuse,,,2,3,2,,,,13,,1,1,
181,treated_plus,good,,,25,17,18,,,,54,,,11,
182,untreated_plus,good,,,19,13,17,,,,21,,1,6,
183,untreated_neg,good,,,55,21,54,,,,134,,3,30,
184,controlNeg,good,,,18,10,17,,,,9,,1,3,
185,treated_plus,good,,,69,28,59,,2,,128,,,41,
186,untreated_neg,good,,,64,24,60,,,,144,,5,30,
187,controlplus,weak,,,7,7,7,,,,2,,,,
188,controlplus,dead,,,,,,,,,,,,,
189,treated_neg,good,,,39,15,24,,,,41,,,5,
190,treated_controlplus,dead,,,,,,,,,,,,,
