sampleName,plate,well,ng_per_ul,aliquot,bufferVol,well,finalConc
239,2,f9,242.3,0.928600908,24.07139909,f9,9
240,2,g9,29.3,7.679180887,17.32081911,g9,9
248,2,h9,65.2,3.450920245,21.54907975,h9,9
251,2,a10,58,3.879310345,21.12068966,a10,9
253,2,b10,62.1,3.623188406,21.37681159,b10,9
254,2,c10,82.1,2.740560292,22.25943971,c10,9
258,2,d10,69.1,3.256150507,21.74384949,d10,9
259,2,e10,81.9,2.747252747,22.25274725,e10,9
260a,2,f10,225.3,0.998668442,24.00133156,f10,9
260b,2,g10,225.3,0.998668442,24.00133156,g10,9
270,2,h10,124,1.814516129,23.18548387,h10,9
271,2,a11,69.8,3.223495702,21.7765043,a11,9
272,2,b11,68,3.308823529,21.69117647,b11,9
275,2,c11,84.1,2.675386445,22.32461356,c11,9
276,2,d11,179.2,1.255580357,23.74441964,d11,9
282,2,e11,66.8,3.368263473,21.63173653,e11,9
287,2,f11,150.4,1.496010638,23.50398936,f11,9
288,2,g11,124.5,1.807228916,23.19277108,g11,9
294,2,h11,132.7,1.695553881,23.30444612,h11,9
74,2,a12,163.7,1.374465486,23.62553451,a12,9
134b,2,b12,33,6.818181818,18.18181818,b12,9
31b,2,c12,121.6,1.850328947,23.14967105,c12,9
deadly,2,d12,38,5.921052632,19.07894737,d12,9
Undifilum,2,e12,52.6,4.27756654,20.72243346,e12,9
black ,2,f12,26.5,8.490566038,16.50943396,f12,9
fuzzy,2,g12,140.2,1.604850214,23.39514979,g12,9
neg_control,2,h12,2.1,107.1428571,-82.14285714,h12,9
134c_noPNA,3,a1,33,6.818181818,18.18181818,a1,9
31c_noPNA,3,b1,121.6,1.850328947,23.14967105,b1,9
260c_noPNA,3,c1,225.3,0.998668442,24.00133156,c1,9
192c_noPNA,3,d1,59.4,3.787878788,21.21212121,d1,9
186c_noPNA,3,e1,230.9,0.974447813,24.02555219,e1,9
,,,,,,,
